id;skupina_ico;role;typ_skupiny;deals_open;deals_closed;osoby;name;owner_id;label_ids;website;linkedin;industry;annual_revenue;employee_count;visible_to;add_time;update_time;is_deleted;address.value;address.subpremise;address.street_number;address.route;address.sublocality;address.locality;address.admin_area_level_1;address.admin_area_level_2;address.postal_code;address.country;address.formatted_address;cf.02eb0f638d9d6fb99a3fc0b6c274f1cea86aa691;cf.0a7f283f809234eae91d60341d11bd95bc16180d;cf.0b58197158cfc8201c352d14b7b837be1a78cceb;cf.0f91eb090c567025d50bd189c2fcef7660168cd2;cf.14a4ac8013661f14c28f977a30092cb6c315a20a;cf.232ebbf4c83f26373ecffe82af67c36963a1ec92;cf.2d1b78c03a1a2f8fd4472defaf32f40b4aa517fa;cf.3a2b73f1a8f908922b1ea5cae104d86d3d9f70b1;cf.4f6d4b49dd0c39448d59c76d9fe9a43026c03edc;cf.5508fa81db364acf7ee7fdc603a016c4c5479aae;cf.5565c37125199485cd7968dc6654d03cfa8d97d8;cf.58292c6b75b6b047a30635b6277d3d71f5376949;cf.5c6385dbe81a44197233a3ad6d66cefa54e8a84f;cf.5f5d9955991be6d8a4586b935b5dca5debf409d5;cf.60a1ba6d2782a2c250108cab56ef0fe61515efbb;cf.70ff2c57f7e0784a71f539a1683a2a050ff2a71c;cf.73573bbb46530af29a18a152762539900342f105;cf.7825f3fdbf7a73a202047a54a429f556a5406b81;cf.88455d0abc8d38a663d25462f501f27cae1eef38;cf.9925a084cc9f374591cb593fa818d4460dbc8c2e;cf.a205678df30f94b434bac611ddff4d2dbb7ae38b;cf.a865d043f6fc8201c30bde5974247ee669ece13a;cf.b829f774cb43a6c4841bd5ce4d2dc7fdbaf96eee;cf.b9ef0fcf6aaff0bef9ba332d255bd33bc6f435a3;cf.d123fdfafdb91420983bfedc81aa956ccbaddae4;cf.dfd241da5230a22ef96710acdca51011fb453341;cf.e3453fd3dec0332ac02998427c31663ba064b13f;cf.e4a4020ed5fcbc3a5ca28a59f378725bee707a4e;cf.f2d70cc7aa7ede911aed630f4621ea06ff048b6c;cf.f657d226854c94a51148746df786d1c5ac10cfea;cf.f7b47c3751ab31d105ee0d6cb7fc1ab60e561765;cf.f892ff1690d0ea86d76de3a2371013b454485d80;cf.fb4eabb84ace77ca298b8038b5d23c6abbf73887;cf.fc3b0719fff2d05f89a9010de08a5cd4c8ecf625
26367;00582841;sloucit;merge;0;2;2;Základní škola – tř. Dr. Edvarda Beneše 50/18, Soběslav;12116814;[];;;;;;7;2023-11-29T07:27:40Z;2026-06-03T18:33:35Z;False;tř. Dr. Edvarda Beneše 50/18, Soběslav;;;;;;Jihočeský kraj;;;;;226;;;00582841;;24;;skola@zs-ebeso.cz;;;;;;284;"{""value"": ""Czech republic"", ""subpremise"": null, ""street_number"": null, ""route"": null, ""sublocality"": null, ""locality"": null, ""admin_area_level_1"": null, ""admin_area_level_2"": null, ""country"": ""Czechia"", ""postal_code"": null, ""formatted_address"": ""Czechia""}";;;18026774;;;208;12116814;381524015;315;;;;;jiri@vividbooks.com;T7D3RW;;516;;232
9238;00602027;ponechat;easy;1;0;1;Střední zahradnická škola;11629944;[];;;;;;7;2023-01-17T17:27:20Z;2026-08-27T12:13:11Z;False;Žákovská 288/20;288;20;Žákovská;Mariánské Hory a Hulváky;Ostrava;Moravskoslezský kraj;Ostrava-město;709 00;Czechia;288, Žákovská 20, 709 00 Ostrava-Mariánské Hory a Hulváky, Czechia;226;;;00602027;;221;;szas.ostrava@gmail.com;;;Přírodovědné lyceum;;;;"{""value"": ""Czechia"", ""subpremise"": """", ""street_number"": """", ""route"": """", ""sublocality"": """", ""locality"": """", ""admin_area_level_1"": """", ""admin_area_level_2"": """", ""country"": ""Czechia"", ""postal_code"": """", ""formatted_address"": ""Czechia""}";;;;www.szas-ostrava.cz;;208;;596 622 335;;;;;;eva.b@vividbooks.com;CPUZXQ;;81;;
39445;00602027;sloucit;easy;0;0;0;Střední zahradnická škola, Ostrava, příspěvková organizace;14063023;[];;;;;;7;2025-09-16T16:31:08Z;2025-09-17T05:59:36Z;False;Moravskoslezský kraj;;;;;;Moravian-Silesian Region;;;Czechia;Moravian-Silesian Region, Czechia;225;;;00602027;;;;;;;;;;;"{""value"": ""Czech Republic"", ""subpremise"": """", ""street_number"": """", ""route"": """", ""sublocality"": """", ""locality"": """", ""admin_area_level_1"": """", ""admin_area_level_2"": """", ""country"": ""Czechia"", ""postal_code"": """", ""formatted_address"": ""Czechia""}";;;14063023;;;;;;;;;;;;;;;;
9267;00638765;ponechat;merge;0;2;1;Střední zdravotnická škola;11629944;[];;;;;;7;2023-01-17T17:27:26Z;2026-05-04T16:38:07Z;False;Ruská 2200/91;;91;Ruská;Praha 10;;Hlavní město Praha;Hlavní město Praha;100 00;Czechia;Střední zdravotnická škola, Ruská 2200/91, 100 00 Praha 10-Vinohrady, Czechia;226;;;00638765;;221;;sekretariat@szs-ruska.cz;;;Ošetřovatel;;;;"{""value"": ""Czechia"", ""subpremise"": """", ""street_number"": """", ""route"": """", ""sublocality"": """", ""locality"": """", ""admin_area_level_1"": """", ""admin_area_level_2"": """", ""country"": ""Czechia"", ""postal_code"": """", ""formatted_address"": ""Czechia""}";;;;http://www.szs-ruska.cz, https://szsvinohrady.cz/kontakty/vedeni-skoly;;208;;"246 090 805 ;246090804";;;;;;iveta@vividbooks.com;ZGMVB6;;52;;
37959;00638765;sloucit;merge;0;0;1;SZŠ Vinohrady, Ruská, Praha 10;12795779;[];;;;;;7;2025-01-29T22:15:45Z;2026-05-18T12:14:19Z;False;Hlavní město Praha;;;;;Prague;Prague;Hlavní město Praha;;Czechia;Prague, Czechia;225;;;00638765;;221;;;;;;;;;"{""value"": ""Czech republic"", ""subpremise"": null, ""street_number"": null, ""route"": null, ""sublocality"": null, ""locality"": null, ""admin_area_level_1"": null, ""admin_area_level_2"": null, ""country"": ""Czechia"", ""postal_code"": null, ""formatted_address"": ""Czechia""}";;;12795779;;;208;12795779;;315;;;;;iveta@vividbooks.com;ZGMVB6;;;180;
8904;00664740;sloucit;easy;0;0;0;SOŠ a SOU;11629944;[];;;;;;7;2023-01-17T17:26:09Z;2024-11-13T01:04:05Z;False;Okružní 1404/;;;Okružní;;Beroun;Středočeský kraj;Beroun;266 01;Czechia;Okružní 1404, Beroun-Město, 266 01 Beroun, Czechia;226;;;00664740;;221;;skola@soshlinky.cz;;;Strojírenské práce;;;;"{""value"": ""Czechia"", ""subpremise"": """", ""street_number"": """", ""route"": """", ""sublocality"": """", ""locality"": """", ""admin_area_level_1"": """", ""admin_area_level_2"": """", ""country"": ""Czechia"", ""postal_code"": """", ""formatted_address"": ""Czechia""}";;;;http://www.soshlinky.cz;;;;311 623 186;;;;;;;;;14;;
36592;00664740;ponechat;easy;0;1;0;SOŠ a SOU Beroun Hlinky;18026774;[];;;;;;7;2024-11-04T09:24:51Z;2024-11-19T12:32:40Z;False;Okružní 1404, Beroun-Město, Czechia;;;Okružní;;;Středočeský kraj;Beroun;266 01;Czechia;Okružní 1404, 266 01 Beroun-Beroun-Město, Czechia;225;;;00664740;;221;;;;;;;;;;;;;https://www.soshlinky.cz/;;;;;;;;;;;;;;;
9282;00669709;sloucit;easy;0;0;0;Střední zdravot.škola a VOŠ zdravotnická;11629944;[];;;;;;7;2023-01-17T17:27:30Z;2024-11-14T01:01:17Z;False;Poděbradská 1247/2;;2;Poděbradská;;Praha, Karlovy Vary;Hlavní město Praha, Karlovarský kraj;Hlavní město Praha, Karlovy Vary;360 01;Czechia;Poděbradská, Praha, Czechia, Poděbradská 1247/2, 360 01 Karlovy Vary, Czechia;226;;;00669709;;221;;sekretariat.skoly@zdravkakv.cz;;;Ošetřovatel;;;;"{""value"": ""Czechia"", ""subpremise"": """", ""street_number"": """", ""route"": """", ""sublocality"": """", ""locality"": """", ""admin_area_level_1"": """", ""admin_area_level_2"": """", ""country"": ""Czechia"", ""postal_code"": """", ""formatted_address"": ""Czechia""}";;;;https://www.zdravkakv.cz;;;;353 233 936 ,737208037;;;;;;;;;0;;
26656;00669709;ponechat;easy;0;0;1;Střední zdravot.škola a VOŠ zdravotnická, Poděbradská 1247/2;18026774;[];;;;;;7;2024-02-27T10:35:32Z;2026-05-15T10:41:49Z;False;Karlovarský kraj;;;;;;Karlovy Vary Region;;;Czechia;Karlovy Vary Region, Czechia;226;;;00 669 709;;221;;;;;;;;;"{""value"": ""Czechia"", ""subpremise"": """", ""street_number"": """", ""route"": """", ""sublocality"": """", ""locality"": """", ""admin_area_level_1"": """", ""admin_area_level_2"": """", ""country"": ""Czechia"", ""postal_code"": """", ""formatted_address"": ""Czechia""}";;;18026774;;;208;18026774;;315;;;;;;VU6PTF;;;;
4148;00830984;ponechat;merge;1;4;4;Základní škola – Obránců míru 2944/1, Most;11629944;[];;;;;;7;2021-05-17T13:09:52Z;2026-09-08T05:46:44Z;False;Obránců míru 2944/1, Most;;;;;;Ústecký kraj;;;;;226;;;00830984;;24;3637;reditel@11zsmost.cz;;;;;;310;"{""value"": ""Czech republic"", ""subpremise"": null, ""street_number"": null, ""route"": null, ""sublocality"": null, ""locality"": null, ""admin_area_level_1"": null, ""admin_area_level_2"": null, ""country"": ""Czechia"", ""postal_code"": null, ""formatted_address"": ""Czechia""}";;;12795779;http://www.11zsmost.cz;;208;12795779;476703517;315;;;;;iveta@vividbooks.com;M278C4;;558;;248
39841;00830984;sloucit;merge;0;0;1;ZŠ Obránců míru 2944, Most;11629944;[];;;;;;7;2026-08-16T17:05:50Z;2026-09-08T05:46:44Z;False;;;;;;;;;;;;225;;;830984;;;;;;;;;;;"{""value"": ""Czech republic"", ""subpremise"": null, ""street_number"": null, ""route"": null, ""sublocality"": null, ""locality"": null, ""admin_area_level_1"": null, ""admin_area_level_2"": null, ""country"": ""Czechia"", ""postal_code"": null, ""formatted_address"": ""Czechia""}";;;;;;208;;;;;;;;;M278C4;;;;
3110;00854824;ponechat;easy;0;2;2;Waldorfská základní škola a střední škola Semily, příspěvková organizace;11629944;[];;;;;;7;2021-05-17T13:03:37Z;2026-03-09T13:09:14Z;False;Tyršova 485, Semily;;;Tyršova;;Semily;Liberecký kraj;Semily;513 01;Czechia;Tyršova 485, 513 01 Semily, Czechia;226;;;854824;;24;6930;info@waldorf.semily.cz;28;;;;;141.0;"{""value"": ""Czechia"", ""subpremise"": """", ""street_number"": """", ""route"": """", ""sublocality"": """", ""locality"": """", ""admin_area_level_1"": """", ""admin_area_level_2"": """", ""country"": ""Czechia"", ""postal_code"": """", ""formatted_address"": ""Czechia""}";;;18026774;www.waldorf-semily.cz;;208;18026774;481624168;315;;;;;;;;246;;105.0
9468;00854824;sloucit;easy;0;0;0;Waldorfská ZSŠ Semily, p.o. – Tyršova 485, Semily;11629944;[];;;;;;7;2023-01-17T17:28:12Z;2024-11-14T01:01:44Z;False;Tyršova 485, Semily;;;;;;Liberecký kraj;;;;;226;;;00854824;;24;;info@waldorf.semily.cz;;;Kombinované lyceum;;;141;"{""value"": ""Czechia"", ""subpremise"": """", ""street_number"": """", ""route"": """", ""sublocality"": """", ""locality"": """", ""admin_area_level_1"": """", ""admin_area_level_2"": """", ""country"": ""Czechia"", ""postal_code"": """", ""formatted_address"": ""Czechia""}";;;;www.waldorf-semily.cz;;;;481624168;;;;;;;;;232;;91
2320;00873489;sloucit;merge;0;1;1;Odborné učiliště, Praktická škola, Základní škola a Mateřská škola Příbram IV, příspěvková organizace;11629944;[];;;;;;7;2021-05-17T12:59:11Z;2026-08-26T03:20:14Z;False;Pod Šachtami 335, Příbram;;335;Pod Šachtami;;Příbram;Středočeský kraj;Příbram;261 01;Czechia;Pod Šachtami 335, Příbram IV, 261 01 Příbram, Czechia;226;;;873489;;24;1822;caisova@ouu.pb.cz;;;;;;42.0;"{""value"": ""Czechia"", ""subpremise"": """", ""street_number"": """", ""route"": """", ""sublocality"": """", ""locality"": """", ""admin_area_level_1"": """", ""admin_area_level_2"": """", ""country"": ""Czechia"", ""postal_code"": """", ""formatted_address"": ""Czechia""}";;;18026774;www.ouu.pb.cz;;208;18026796;318472146;315;;;;;;;;86;;44.0
9482;00873489;ponechat;merge;1;1;4;OU, PrŠ, ZŠ a MŠ – Pod Šachtami 335, Příbram;11629944;[];;;;;;7;2023-01-17T17:28:15Z;2026-09-08T00:05:05Z;False;Pod Šachtami 335, Příbram IV, 26101 Příbram;;;Pod Šachtami;;;Středočeský kraj;Příbram;261 01;Czechia;Pod Šachtami 335, 261 01 Příbram-Příbram IV, Czechia;226;;;00873489;;24;;caisova@ouupb.cz;;;Praktická škola jednoletá;;;56;"{""value"": ""Czech republic"", ""subpremise"": null, ""street_number"": null, ""route"": null, ""sublocality"": null, ""locality"": null, ""admin_area_level_1"": null, ""admin_area_level_2"": null, ""country"": ""Czechia"", ""postal_code"": null, ""formatted_address"": ""Czechia""}";;;;www.ouu.pb.cz;;208;;725373040;;;;;;;75V4F8;;102;;46
39822;01228251;sloucit;merge;0;0;1;"""KRPŠ při ZŠ Hustopeče nad Bečvou""";11629944;[];;;;;;7;2026-06-24T16:32:39Z;2026-06-25T08:06:21Z;False;;;;;;;;;;;;225;;;01228251;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39823;01228251;ponechat;merge;1;0;0;"""KRPŠ při ZŠ Hustopeče nad Bečvou""";11629944;[];;;;;;7;2026-06-24T16:32:40Z;2026-06-26T07:58:38Z;False;;;;;;;;;;;;226;;;01228251;;;;;;;;;;;"{""value"": ""Czech republic"", ""subpremise"": null, ""street_number"": null, ""route"": null, ""sublocality"": null, ""locality"": null, ""admin_area_level_1"": null, ""admin_area_level_2"": null, ""country"": ""Czechia"", ""postal_code"": null, ""formatted_address"": ""Czechia""}";;;12116814;;;208;;;;;;;;jiri@vividbooks.com;FF54EY;;;;
2662;01811193;ponechat;merge;0;1;1;Waldorfská základní škola Dobromysl z.ú.;11629944;[];;;;;;7;2021-05-17T13:01:05Z;2026-03-11T11:04:04Z;False;Husova 1126/43, Plzeň;;1126;Husova;Plzeň 3;;Plzeňský kraj;Plzeň-město;301 00;Czechia;Husova 1126, 301 00 Plzeň 3-Jižní Předměstí, Czechia;226;;;1811193;;24;2162;reditel@skoladobromysl.cz;;;;;;103.0;"{""value"": ""Czechia"", ""subpremise"": """", ""street_number"": """", ""route"": """", ""sublocality"": """", ""locality"": """", ""admin_area_level_1"": """", ""admin_area_level_2"": """", ""country"": ""Czechia"", ""postal_code"": """", ""formatted_address"": ""Czechia""}";;;18026774;www.skoladobromysl.cz;;208;18026774;773526874;315;;;;;;;;167;;64.0
9625;01811193;sloucit;merge;0;0;2;Waldorfská ZŠ a SŠ Dobromysl z.ú. – Husova 1126/43, Plzeň;11629944;[];;;;;;7;2023-01-17T17:28:45Z;2026-02-18T11:09:11Z;False;Husova 1126/43, Plzeň;;;;;;Plzeňský kraj;;;;;226;;;01811193;;24;;reditel@skoladobromysl.cz;;;Kombinované lyceum;;;108;"{""value"": ""Czechia"", ""subpremise"": """", ""street_number"": """", ""route"": """", ""sublocality"": """", ""locality"": """", ""admin_area_level_1"": """", ""admin_area_level_2"": """", ""country"": ""Czechia"", ""postal_code"": """", ""formatted_address"": ""Czechia""}";;;;www.skoladobromysl.cz;;;;773526874;;;;;;;;;199;;91
2377;02640007;ponechat;merge;0;1;2;Základní škola a Střední škola JEDNA RADOST Pňov-Předhradí;11629944;[];;;;;;7;2021-05-17T12:59:31Z;2026-01-19T11:58:38Z;False;Na Hrázi 742/64, Poděbrady;;64;Na Hrázi;;Poděbrady;Středočeský kraj;Nymburk;290 01;Czechia;Na Hrázi 742/64, Poděbrady III, 290 01 Poděbrady, Czechia;226;;;2640007;;24;1878;miroslava.homolova@skola1radost.cz;;;;;;52.0;"{""value"": ""Czechia"", ""subpremise"": """", ""street_number"": """", ""route"": """", ""sublocality"": """", ""locality"": """", ""admin_area_level_1"": """", ""admin_area_level_2"": """", ""country"": ""Czechia"", ""postal_code"": """", ""formatted_address"": ""Czechia""}";;;18026774;http://www.skolajednaradost.cz;;208;18026796;702143221;315;;;;;;;;109;;57.0
9627;02640007;sloucit;merge;0;0;1;ZŠ a SŠ JEDNA RADOST – Školní 73, Pňov-Předhradí;11629944;[];;;;;;7;2023-01-17T17:28:45Z;2026-09-02T21:10:34Z;False;Školní 73, Pňov-Předhradí;;;;;;Středočeský kraj;;;;;226;;;02640007;;24;;lenka.moncekova@skola1radost.cz;;;Pedagogické lyceum;;;51;"{""value"": ""Czechia"", ""subpremise"": """", ""street_number"": """", ""route"": """", ""sublocality"": """", ""locality"": """", ""admin_area_level_1"": """", ""admin_area_level_2"": """", ""country"": ""Czechia"", ""postal_code"": """", ""formatted_address"": ""Czechia""}";;;;http://www.skolajednaradost.cz;;;;607752815;;;;;;;;;111;;60
2961;03972071;ponechat;easy;0;11;7;LABYRINTH - gymnázium a ZŠ, s.r.o. – Lidická 1869/28, Brno;11629944;[5];;;;;;7;2021-05-17T13:02:48Z;2026-09-07T16:53:31Z;False;Technická 2998/19, Machova budova D,E, Brno, 61600;;19;Technická;Brno-Královo Pole;;Jihomoravský kraj;Brno-město;612 00;Czechia;Machova budova, Technická 2998/19, 612 00 Brno-Královo Pole, Czechia;226;[205];;03972071;[288];24;2461;svozil@labyrinthschool.cz;;[345, 347, 348];;;371;224;"{""value"": ""Czech republic"", ""subpremise"": null, ""street_number"": null, ""route"": null, ""sublocality"": null, ""locality"": null, ""admin_area_level_1"": null, ""admin_area_level_2"": null, ""country"": ""Czechia"", ""postal_code"": null, ""formatted_address"": ""Czechia""}";2026-08-30;;14063023;http://www.labyrinthschool.cz;;208;14063023;608407832;315;;;;;eva.b@vividbooks.com;XLTDEC;;349;;125
39292;03972071;sloucit;easy;0;0;0;LABYRINTH - gymnázium a základní škola, s.r.o.;14063023;[];;;;;;7;2025-06-23T07:35:55Z;2025-07-03T14:31:05Z;False;Jihomoravský kraj;;;;;;South Moravian Region;;;Czechia;South Moravian Region, Czechia;225;;;03972071 ;;;;;;;;;;;"{""value"": ""Czech republic"", ""subpremise"": null, ""street_number"": null, ""route"": null, ""sublocality"": null, ""locality"": null, ""admin_area_level_1"": null, ""admin_area_level_2"": null, ""country"": ""Czechia"", ""postal_code"": null, ""formatted_address"": ""Czechia""}";;;14063023;;;208;14063023;;315;;;;;;XLTDEC;;;;
